Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2003-04-19,25-265,SAS,,PHO,L (-1),0,39:00,2,9,.222,2,7,.286,5,6,.833,2,3,5,5,2,1,0,4,11,12.0,0
2,2,2003-04-21,25-267,SAS,,PHO,W (+8),0,30:00,3,10,.300,1,3,.333,0,0,,1,4,5,4,1,1,1,1,7,6.2,+19
3,3,2003-04-25,25-271,SAS,@,PHO,W (+13),0,33:00,4,12,.333,2,4,.500,2,4,.500,0,2,2,4,1,0,0,2,12,8.0,+12
4,4,2003-04-27,25-273,SAS,@,PHO,L (-2),0,23:00,0,6,.000,0,1,.000,0,0,,0,2,2,5,1,0,2,2,0,-1.9,+8
5,5,2003-04-29,25-275,SAS,,PHO,W (+12),0,28:00,1,3,.333,0,0,,2,2,1.000,1,8,9,3,2,1,4,3,4,5.0,+16
6,6,2003-05-01,25-277,SAS,@,PHO,W (+2),0,29:00,4,10,.400,4,7,.571,0,0,,0,0,0,2,1,0,0,2,12,8.2,+9
7,7,2003-05-05,25-281,SAS,,LAL,W (+5),0,30:00,4,9,.444,3,3,1.000,4,8,.500,2,4,6,2,4,0,1,0,15,15.7,-2
8,8,2003-05-07,25-283,SAS,,LAL,W (+19),0,24:00,5,7,.714,0,0,,7,8,.875,0,3,3,3,2,1,3,2,17,15.6,+17
9,9,2003-05-09,25-285,SAS,@,LAL,L (-15),0,21:00,2,4,.500,1,2,.500,3,4,.750,0,0,0,0,1,0,3,3,8,2.4,-11
10,10,2003-05-11,25-287,SAS,@,LAL,L (-4),0,23:00,4,9,.444,2,4,.500,3,4,.750,2,2,4,4,1,0,0,3,13,12.5,-8
11,11,2003-05-13,25-289,SAS,,LAL,W (+2),0,24:00,3,6,.500,1,2,.500,0,0,,1,1,2,2,2,1,2,0,7,7.1,-4
12,12,2003-05-15,25-291,SAS,@,LAL,W (+28),0,26:00,3,6,.500,1,2,.500,3,4,.750,2,3,5,4,3,0,0,2,10,13.9,+21
13,13,2003-05-19,25-295,SAS,,DAL,L (-3),0,22:00,3,8,.375,2,5,.400,4,5,.800,0,5,5,4,0,0,0,6,12,9.1,+7
14,14,2003-05-21,25-297,SAS,,DAL,W (+13),0,28:00,3,6,.500,1,2,.500,0,0,,1,2,3,2,2,1,2,2,7,6.6,+17
15,15,2003-05-23,25-299,SAS,@,DAL,W (+13),0,26:00,1,3,.333,0,1,.000,0,2,.000,2,0,2,3,0,0,1,3,2,0.8,+4
16,16,2003-05-25,25-301,SAS,@,DAL,W (+7),0,32:00,8,12,.667,3,5,.600,2,2,1.000,5,1,6,1,2,0,1,4,21,19.7,+14
17,17,2003-05-27,25-303,SAS,,DAL,L (-12),0,21:00,2,9,.222,1,7,.143,0,0,,0,4,4,6,1,0,2,1,5,3.5,+3
18,18,2003-05-29,25-305,SAS,@,DAL,W (+12),0,29:00,3,9,.333,1,4,.250,4,4,1.000,1,1,2,4,2,0,4,4,11,6.1,+17
19,19,2003-06-04,25-311,SAS,,NJN,W (+12),0,28:00,3,8,.375,1,2,.500,0,0,,1,6,7,3,0,0,3,3,7,3.0,+13
20,20,2003-06-06,25-313,SAS,,NJN,L (-2),0,29:00,1,6,.167,0,2,.000,2,2,1.000,4,2,6,3,1,0,3,4,4,2.1,-6
21,21,2003-06-08,25-315,SAS,@,NJN,W (+5),0,28:00,3,6,.500,0,0,,2,3,.667,2,0,2,4,4,2,1,2,8,12.4,+10
22,22,2003-06-11,25-318,SAS,@,NJN,L (-1),0,28:00,3,10,.300,2,6,.333,2,3,.667,1,1,2,1,4,0,1,1,10,8.1,+2
23,23,2003-06-13,25-320,SAS,@,NJN,W (+10),0,26:00,4,8,.500,0,0,,4,4,1.000,0,3,3,0,2,1,1,5,12,8.6,+15
24,24,2003-06-15,25-322,SAS,,NJN,W (+11),0,33:00,2,8,.250,0,4,.000,7,9,.778,1,6,7,1,2,0,1,3,11,8.4,+18
