Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2004-11-03,27-098,SAS,,SAC,W (+16),1,28:00,7,12,.583,2,3,.667,8,9,.889,1,8,9,3,3,0,3,3,24,22.0,+17
2,2,2004-11-05,27-100,SAS,@,LAL,W (+9),1,34:00,8,18,.444,1,6,.167,1,2,.500,5,2,7,6,5,1,5,4,18,15.6,+3
3,3,2004-11-07,27-102,SAS,@,SEA,L (-19),1,26:00,7,12,.583,3,6,.500,4,6,.667,0,4,4,2,1,0,4,6,21,11.8,-3
4,4,2004-11-10,27-105,SAS,,GSW,W (+20),1,31:00,7,12,.583,1,1,1.000,7,8,.875,0,5,5,3,1,1,3,2,22,17.5,+18
5,5,2004-11-12,27-107,SAS,,MIA,W (+9),1,35:00,8,12,.667,5,6,.833,8,10,.800,2,5,7,7,6,1,4,2,29,32.7,+13
6,6,2004-11-13,27-108,SAS,@,ATL,W (+15),1,26:00,2,6,.333,0,2,.000,5,5,1.000,1,3,4,9,2,0,1,2,9,13.7,+22
7,7,2004-11-16,27-111,SAS,,NYK,W (+18),1,31:00,4,11,.364,1,4,.250,0,0,,0,4,4,5,1,0,1,1,9,7.2,+11
8,8,2004-11-18,27-113,SAS,@,PHI,W (+8),1,32:00,3,7,.429,2,4,.500,9,12,.750,1,3,4,9,2,1,3,3,17,18.5,+15
9,9,2004-11-19,27-114,SAS,@,BOS,W (+8),1,27:00,7,11,.636,4,5,.800,3,4,.750,1,3,4,1,0,0,3,1,21,14.6,+11
10,10,2004-11-21,27-116,SAS,@,TOR,L (-5),1,37:00,4,11,.364,0,3,.000,2,4,.500,0,2,2,3,0,1,2,1,10,4.1,-16
11,11,2004-11-22,27-117,SAS,@,MEM,L (-3),1,28:00,1,8,.125,0,0,,4,4,1.000,4,2,6,4,2,0,4,3,6,3.8,-2
12,12,2004-11-24,27-119,SAS,,DAL,W (+14),1,23:00,2,6,.333,0,2,.000,0,3,.000,3,5,8,6,3,1,1,4,4,8.3,+8
13,13,2004-11-26,27-121,SAS,@,DEN,W (+14),1,26:00,5,11,.455,2,5,.400,4,4,1.000,1,5,6,5,1,0,2,4,16,13.4,+18
14,14,2004-11-27,27-122,SAS,,UTA,W (+33),1,22:00,5,6,.833,0,1,.000,5,5,1.000,1,2,3,3,2,0,0,0,15,18.2,+23
15,15,2004-11-30,27-125,SAS,@,DAL,W (+18),1,26:00,2,7,.286,0,2,.000,7,9,.778,1,4,5,4,3,0,2,5,11,9.8,+21
16,16,2004-12-01,27-126,SAS,,PHI,W (+33),1,23:00,2,6,.333,0,3,.000,7,11,.636,2,1,3,4,0,0,2,2,11,7.7,+22
17,17,2004-12-03,27-128,SAS,,DET,W (+3),1,34:00,6,10,.600,2,5,.400,4,7,.571,0,4,4,4,1,1,6,4,18,10.3,+5
18,18,2004-12-04,27-129,SAS,@,MIL,W (+21),1,28:00,4,8,.500,1,3,.333,3,3,1.000,1,0,1,3,1,0,3,1,12,8.4,+13
19,19,2004-12-06,27-131,SAS,@,CHI,W (+16),1,27:00,3,8,.375,1,4,.250,5,5,1.000,0,5,5,5,2,0,5,2,12,8.8,+21
20,20,2004-12-08,27-133,SAS,,SEA,L (-6),1,33:00,4,14,.286,3,5,.600,7,7,1.000,3,1,4,1,2,0,2,4,18,11.3,-1
21,21,2004-12-09,27-134,SAS,@,HOU,L (-1),1,29:00,4,11,.364,3,6,.500,2,2,1.000,1,4,5,2,1,1,2,0,13,9.9,-1
22,22,2004-12-11,27-136,SAS,,CLE,W (+19),1,23:00,1,5,.200,0,0,,0,0,,0,3,3,4,1,0,3,1,2,0.2,+7
