Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-04-15,39-261,SAS,,MEM,W (+29),0,13:27,0,4,.000,0,2,.000,0,0,,1,2,3,2,1,0,0,2,0,0.1,+18
2,2,2017-04-17,39-263,SAS,,MEM,W (+14),0,18:53,0,4,.000,0,3,.000,0,0,,2,2,4,3,3,0,2,0,0,2.3,+6
3,3,2017-04-20,39-266,SAS,@,MEM,L (-11),0,10:08,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,0.3,-7
4,4,2017-04-22,39-268,SAS,@,MEM,L (-2),0,15:50,0,5,.000,0,4,.000,0,0,,0,1,1,1,0,0,0,0,0,-2.5,-7
5,5,2017-04-25,39-271,SAS,,MEM,W (+13),0,17:45,4,6,.667,1,2,.500,1,1,1.000,2,0,2,3,3,1,1,2,10,12.8,+6
6,6,2017-04-27,39-273,SAS,@,MEM,W (+7),0,16:35,1,2,.500,1,2,.500,1,1,1.000,0,3,3,0,0,0,2,1,4,1.5,-1
7,7,2017-05-01,39-277,SAS,,HOU,L (-27),0,11:56,3,7,.429,1,2,.500,1,1,1.000,0,1,1,1,1,0,1,1,8,4.9,-7
8,8,2017-05-03,39-279,SAS,,HOU,W (+25),0,18:04,2,7,.286,0,3,.000,2,2,1.000,3,2,5,3,0,0,0,2,6,5.9,+16
9,9,2017-05-05,39-281,SAS,@,HOU,W (+11),0,16:09,0,3,.000,0,1,.000,0,0,,0,5,5,2,1,0,2,1,0,-0.6,+3
10,10,2017-05-07,39-283,SAS,@,HOU,L (-21),0,16:20,4,7,.571,1,2,.500,0,1,.000,0,1,1,2,0,0,1,1,9,5.6,-5
11,11,2017-05-09,39-285,SAS,,HOU,W (+3),0,31:36,5,11,.455,1,4,.250,1,2,.500,1,6,7,5,0,1,0,2,12,11.8,+8
12,12,2017-05-11,39-287,SAS,@,HOU,W (+39),0,16:42,1,5,.200,0,3,.000,0,0,,0,3,3,4,0,0,0,5,2,0.6,+8
13,13,2017-05-14,39-290,SAS,@,GSW,L (-2),0,25:41,7,10,.700,1,3,.333,2,3,.667,0,1,1,1,3,0,2,2,17,13.6,+4
14,14,2017-05-16,39-292,SAS,@,GSW,L (-36),0,5:06,0,3,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,2,2,-0.2,-10
15,15,2017-05-20,39-296,SAS,,GSW,L (-12),0,17:50,7,9,.778,2,3,.667,5,8,.625,0,1,1,2,1,0,0,3,21,17.8,-6
16,16,2017-05-22,39-298,SAS,,GSW,L (-14),1,32:10,6,12,.500,1,4,.250,2,2,1.000,1,0,1,7,3,0,1,4,15,15.0,-21
