Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,1,2002-10-29,25-093,SAS,@,LAL,W (+5),0,20:00,.389,.389,0.0,8.3,4.8,38.3,9.9,3.3,18.2,23.7,75,73,6.1
2,2,2002-10-30,25-094,SAS,@,GSW,L (-8),1,30:00,.423,.423,3.2,4.2,3.6,4.8,5.3,0.0,13.3,20.9,90,115,5.0
3,3,2002-11-01,25-096,SAS,,TOR,W (+19),1,20:00,.508,.429,0.0,9.2,5.2,0.0,2.6,0.0,11.3,19.9,98,79,3.7
4,4,2002-11-04,25-099,SAS,@,MEM,W (+2),1,25:00,.700,.700,0.0,13.0,6.8,23.8,0.0,0.0,28.6,12.5,109,103,4.0
5,5,2002-11-05,25-100,SAS,,GSW,W (+20),1,23:00,.515,.417,4.9,12.8,9.1,13.1,0.0,0.0,0.0,15.4,133,88,5.6
6,6,2002-11-09,25-104,SAS,,POR,L (-19),1,17:00,.410,.375,0.0,0.0,0.0,11.7,0.0,0.0,17.0,16.9,77,118,0.5
7,7,2002-11-11,25-106,SAS,,MIN,W (+16),0,22:00,.436,.333,0.0,16.8,9.1,14.2,7.1,2.8,22.5,18.3,79,68,5.7
8,8,2002-11-13,25-108,SAS,@,NJN,L (-9),0,12:00,.515,.500,8.2,0.0,4.5,0.0,0.0,0.0,34.0,21.7,73,109,0.2
9,9,2002-11-14,25-109,SAS,@,PHI,L (-5),0,15:00,.436,.417,0.0,27.8,14.2,23.2,0.0,0.0,12.7,24.6,86,109,3.8
10,10,2002-11-16,25-111,SAS,@,CLE,W (+13),0,10:00,.525,.333,0.0,0.0,0.0,16.4,10.4,0.0,17.4,27.9,97,74,4.6
11,11,2002-11-18,25-113,SAS,,CLE,W (+26),0,9:00,.568,,0.0,11.9,6.6,0.0,0.0,0.0,0.0,9.4,123,93,1.1
12,12,2002-11-20,25-115,SAS,,LAL,W (+7),0,17:00,.840,.667,0.0,13.4,7.0,10.0,3.2,0.0,38.7,21.1,106,96,4.4
13,13,2002-11-22,25-117,SAS,,MEM,W (+9),0,23:00,.446,.571,9.7,5.8,7.9,23.5,4.9,0.0,22.9,24.8,82,99,5.7
14,14,2002-11-24,25-119,SAS,,SEA,L (-1),0,11:00,.515,.500,0.0,0.0,0.0,0.0,5.0,0.0,34.0,25.3,68,105,0.9
15,15,2002-11-26,25-121,SAS,@,DEN,L (-4),0,28:00,.479,.450,4.3,7.3,5.9,28.4,2.0,0.0,8.7,19.7,105,101,7.5
16,16,2002-11-27,25-122,SAS,,DEN,W (+31),0,19:00,.333,.333,18.0,5.3,11.2,21.4,0.0,3.6,40.0,11.5,89,79,1.9
17,17,2002-11-29,25-124,SAS,@,PHO,L (-7),0,14:00,.644,.833,0.0,6.2,3.9,0.0,3.9,0.0,34.0,20.2,72,105,0.6
18,18,2002-11-30,25-125,SAS,,UTA,W (+22),0,7:00,.000,.000,0.0,0.0,0.0,0.0,7.6,0.0,0.0,13.5,0,90,-0.4
19,19,2002-12-03,25-128,SAS,@,HOU,L (-14),0,10:00,.000,.000,0.0,11.7,5.4,0.0,6.0,7.0,66.7,15.1,0,100,-1.1
20,20,2002-12-30,25-155,SAS,@,NYK,L (-1),0,2:00,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.9,0,111,-1.0
21,21,2002-12-31,25-156,SAS,@,WAS,L (-2),0,1:00,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0,123,-0.7
22,22,2003-01-05,25-161,SAS,@,LAC,W (+8),0,14:00,1.000,1.000,8.6,6.7,7.5,25.3,0.0,4.6,0.0,6.4,204,102,5.7
