,CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,MEDV
0,2.3004,0.0,19.58,0.605,6.319,96.1,2.1,403,14.7,1.0
1,13.3598,0.0,18.1,0.693,5.8870000000000005,94.7,1.7821,666,20.2,0.0
2,0.12744,0.0,6.91,0.44799999999999995,6.77,2.9,5.7209,233,17.9,1.0
3,0.15875999999999998,0.0,10.81,0.413,5.961,17.5,5.2873,305,19.2,1.0
4,0.03768,80.0,1.52,0.40399999999999997,7.274,38.3,7.309,329,12.6,1.0
5,0.03705,20.0,3.33,0.4429,6.968,37.2,5.2447,216,14.9,1.0
6,0.07244,60.0,1.69,0.41100000000000003,5.8839999999999995,18.5,10.7103,411,18.3,0.0
7,0.1,34.0,6.09,0.433,6.982,17.7,5.4917,329,16.1,1.0
8,4.812130000000001,0.0,18.1,0.713,6.7010000000000005,90.0,2.5975,666,20.2,0.0
9,0.15086,0.0,27.74,0.609,5.454,92.7,1.8209,711,20.1,0.0
10,38.3518,0.0,18.1,0.693,5.452999999999999,100.0,1.4896,666,20.2,0.0
11,0.05479,33.0,2.18,0.47200000000000003,6.6160000000000005,58.1,3.37,222,18.4,1.0
12,4.541919999999999,0.0,18.1,0.77,6.398,88.0,2.5182,666,20.2,1.0
13,0.7857,20.0,3.97,0.647,7.013999999999999,84.6,2.1329,264,13.0,1.0
14,3.5350099999999998,0.0,19.58,0.871,6.152,82.6,1.7455,403,14.7,0.0
15,1.22358,0.0,19.58,0.605,6.943,97.4,1.8773,403,14.7,1.0
16,0.08826,0.0,10.81,0.413,6.417000000000001,6.6,5.2873,305,19.2,1.0
17,3.56868,0.0,18.1,0.58,6.437,75.0,2.8965,666,20.2,1.0
18,3.4742800000000003,0.0,18.1,0.718,8.78,82.9,1.9047,666,20.2,1.0
19,0.05735,0.0,4.49,0.449,6.63,56.1,4.4377,247,18.5,1.0
20,0.04981,21.0,5.64,0.439,5.997999999999999,21.4,6.8147,243,16.8,1.0
21,0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,279,19.2,1.0
22,7.75223,0.0,18.1,0.713,6.301,83.7,2.7831,666,20.2,0.0
23,8.26725,0.0,18.1,0.6679999999999999,5.875,89.6,1.1296,666,20.2,1.0
24,5.66637,0.0,18.1,0.74,6.218999999999999,100.0,2.0048,666,20.2,0.0
25,0.17331,0.0,9.69,0.585,5.707000000000001,54.0,2.3817,391,19.2,1.0
26,0.14476,0.0,10.01,0.547,5.731,65.2,2.7592,432,17.8,0.0
27,1.27346,0.0,19.58,0.605,6.25,92.6,1.7984,403,14.7,1.0
28,6.39312,0.0,18.1,0.584,6.162000000000001,97.4,2.206,666,20.2,0.0
29,8.792119999999999,0.0,18.1,0.584,5.565,70.6,2.0635,666,20.2,0.0
30,0.0566,0.0,3.41,0.489,7.007000000000001,86.3,3.4217,270,17.8,1.0
31,0.03932,0.0,3.41,0.489,6.405,73.9,3.0921,270,17.8,1.0
32,8.64476,0.0,18.1,0.693,6.193,92.6,1.7912,666,20.2,0.0
33,0.46296000000000004,0.0,6.2,0.504,7.412000000000001,76.9,3.6715,307,17.4,1.0
34,2.924,0.0,19.58,0.605,6.101,93.0,2.2834,403,14.7,1.0
35,15.288,0.0,18.1,0.6709999999999999,6.649,93.3,1.3449,666,20.2,0.0
36,1.46336,0.0,19.58,0.605,7.489,90.8,1.9709,403,14.7,1.0
37,0.29819,0.0,6.2,0.504,7.686,17.0,3.3751,307,17.4,1.0
38,9.329089999999999,0.0,18.1,0.713,6.185,98.7,2.2616,666,20.2,0.0
39,0.32264,0.0,21.89,0.624,5.942,93.5,1.9669,437,21.2,0.0
40,0.030410000000000003,0.0,5.19,0.515,5.895,59.6,5.615,224,20.2,0.0
41,41.5292,0.0,18.1,0.693,5.531000000000001,85.4,1.6074,666,20.2,0.0
42,0.55778,0.0,21.89,0.624,6.335,98.2,2.1107,437,21.2,0.0
43,0.34006,0.0,21.89,0.624,6.457999999999999,98.9,2.1185,437,21.2,0.0
44,1.8002799999999999,0.0,19.58,0.605,5.877000000000001,79.2,2.4259,403,14.7,1.0
45,0.38214000000000004,0.0,6.2,0.504,8.04,86.5,3.2157,307,17.4,1.0
46,0.09744,0.0,5.96,0.499,5.841,61.4,3.3779,279,19.2,1.0
47,9.82349,0.0,18.1,0.6709999999999999,6.794,98.8,1.358,666,20.2,0.0
48,11.9511,0.0,18.1,0.659,5.608,100.0,1.2852,666,20.2,1.0
49,0.08387,0.0,12.83,0.43700000000000006,5.874,36.6,4.5026,398,18.7,1.0
50,1.19294,0.0,21.89,0.624,6.3260000000000005,97.7,2.271,437,21.2,0.0
51,1.49632,0.0,19.58,0.871,5.404,100.0,1.5916,403,14.7,0.0
52,22.0511,0.0,18.1,0.74,5.818,92.4,1.8662,666,20.2,0.0
53,0.09849,0.0,25.65,0.581,5.879,95.8,2.0063,188,19.1,0.0
54,7.9924800000000005,0.0,18.1,0.7,5.52,100.0,1.5331,666,20.2,0.0
55,5.8240099999999995,0.0,18.1,0.532,6.242000000000001,64.7,3.4242,666,20.2,1.0
56,0.19072999999999998,22.0,5.86,0.431,6.718,17.5,7.8265,330,19.1,1.0
57,1.25179,0.0,8.14,0.5379999999999999,5.57,98.1,3.7979,307,21.0,0.0
58,0.0795,60.0,1.69,0.41100000000000003,6.579,35.9,10.7103,411,18.3,1.0
59,0.15098,0.0,10.01,0.547,6.021,82.6,2.7474,432,17.8,0.0
60,2.36862,0.0,19.58,0.871,4.926,95.7,1.4608,403,14.7,0.0
61,4.64689,0.0,18.1,0.614,6.98,67.6,2.5329,666,20.2,1.0
62,0.11132,0.0,27.74,0.609,5.983,83.5,2.1099,711,20.1,1.0
63,0.037380000000000004,0.0,5.19,0.515,6.31,38.5,6.4584,224,20.2,1.0
64,0.32982,0.0,21.89,0.624,5.822,95.4,2.4699,437,21.2,0.0
65,7.83932,0.0,18.1,0.655,6.209,65.4,2.9634,666,20.2,1.0
66,0.09103,0.0,2.46,0.488,7.155,92.2,2.7006,193,17.8,1.0
67,0.37578,0.0,10.59,0.489,5.404,88.6,3.665,277,18.6,0.0
68,9.18702,0.0,18.1,0.7,5.5360000000000005,100.0,1.5804,666,20.2,0.0
69,0.07875,45.0,3.44,0.43700000000000006,6.782,41.1,3.7886,398,15.2,1.0
